Device:  cuda
Max Epochs:  200
Early Stopping Reference Size:  5
------------------
Loading data...
Data loaded.
<class 'numpy.ndarray'>
Epoch 001: | Loss: 1.12080
Estimated time: 0:09:59.444600
Estimated finish: 2023-10-13 12:45:27.231321
Epoch 002: | Loss: 0.78849
Epoch 003: | Loss: 0.64707
Epoch 004: | Loss: 0.57113
Epoch 005: | Loss: 0.54312
Epoch 006: | Loss: 0.50748
Epoch 007: | Loss: 0.45725
Epoch 008: | Loss: 0.41447
Epoch 009: | Loss: 0.40542
Epoch 010: | Loss: 0.37229
Epoch 011: | Loss: 0.35171
Epoch 012: | Loss: 0.33481
Epoch 013: | Loss: 0.32106
Epoch 014: | Loss: 0.30153
Epoch 015: | Loss: 0.30341
Epoch 016: | Loss: 0.29414
Epoch 017: | Loss: 0.28152
Epoch 018: | Loss: 0.26031
Epoch 019: | Loss: 0.24560
Epoch 020: | Loss: 0.23710
Epoch 021: | Loss: 0.23494
Epoch 022: | Loss: 0.21494
Epoch 023: | Loss: 0.21511
Epoch 024: | Loss: 0.20855
Epoch 025: | Loss: 0.19740
Epoch 026: | Loss: 0.19229
Epoch 027: | Loss: 0.18154
Epoch 028: | Loss: 0.17508
Epoch 029: | Loss: 0.16644
Epoch 030: | Loss: 0.16205
Epoch 031: | Loss: 0.15900
Epoch 032: | Loss: 0.14771
Epoch 033: | Loss: 0.14781
Epoch 034: | Loss: 0.13958
Epoch 035: | Loss: 0.13252
Epoch 036: | Loss: 0.12969
Epoch 037: | Loss: 0.12494
Epoch 038: | Loss: 0.12071
Epoch 039: | Loss: 0.10952
Epoch 040: | Loss: 0.10424
Epoch 041: | Loss: 0.10410
Epoch 042: | Loss: 0.10584
Epoch 043: | Loss: 0.08659
Epoch 044: | Loss: 0.08556
Epoch 045: | Loss: 0.08006
Epoch 046: | Loss: 0.08505
Epoch 047: | Loss: 0.07767
Epoch 048: | Loss: 0.07352
Epoch 049: | Loss: 0.07241
Epoch 050: | Loss: 0.06631
Epoch 051: | Loss: 0.06518
Epoch 052: | Loss: 0.06194
Epoch 053: | Loss: 0.06242
Epoch 054: | Loss: 0.06330
Epoch 055: | Loss: 0.06556
Epoch 056: | Loss: 0.05189
Epoch 057: | Loss: 0.05626
Epoch 058: | Loss: 0.05682
Epoch 059: | Loss: 0.04844
Epoch 060: | Loss: 0.05041
Epoch 061: | Loss: 0.04846
Epoch 062: | Loss: 0.04624
Epoch 063: | Loss: 0.04438
Epoch 064: | Loss: 0.04179
Epoch 065: | Loss: 0.04036
Epoch 066: | Loss: 0.04405
Epoch 067: | Loss: 0.04290
Epoch 068: | Loss: 0.04154
Epoch 069: | Loss: 0.04305
Epoch 070: | Loss: 0.03972
Epoch 071: | Loss: 0.03047
Epoch 072: | Loss: 0.04079
Epoch 073: | Loss: 0.03552
Epoch 074: | Loss: 0.03333
Epoch 075: | Loss: 0.03024
Epoch 076: | Loss: 0.03156
Epoch 077: | Loss: 0.03369
Epoch 078: | Loss: 0.03504
Epoch 079: | Loss: 0.02854
Epoch 080: | Loss: 0.03040
Epoch 081: | Loss: 0.02678
Epoch 082: | Loss: 0.03378
Epoch 083: | Loss: 0.03094
Epoch 084: | Loss: 0.02519
Epoch 085: | Loss: 0.02520
Epoch 086: | Loss: 0.03153
Epoch 087: | Loss: 0.02400
Epoch 088: | Loss: 0.03120
Epoch 089: | Loss: 0.02333
Epoch 090: | Loss: 0.02268
Epoch 091: | Loss: 0.02324
Epoch 092: | Loss: 0.02728
Epoch 093: | Loss: 0.02187
Epoch 094: | Loss: 0.02494
Epoch 095: | Loss: 0.02188
Epoch 096: | Loss: 0.02246
Epoch 097: | Loss: 0.01943
Epoch 098: | Loss: 0.02176
Epoch 099: | Loss: 0.02151
Epoch 100: | Loss: 0.02217
Epoch 101: | Loss: 0.01891
Epoch 102: | Loss: 0.02151
Epoch 103: | Loss: 0.02170
Epoch 104: | Loss: 0.01810
Epoch 105: | Loss: 0.01825
Epoch 106: | Loss: 0.01950
Epoch 107: | Loss: 0.02479
Epoch 108: | Loss: 0.01314
Epoch 109: | Loss: 0.02013
Epoch 110: | Loss: 0.02031
Epoch 111: | Loss: 0.01870
Epoch 112: | Loss: 0.01528
Epoch 113: | Loss: 0.01620
Epoch 114: | Loss: 0.01587
Epoch 115: | Loss: 0.01557
Epoch 116: | Loss: 0.01801
Epoch 117: | Loss: 0.01685
Epoch 118: | Loss: 0.01740
Epoch 119: | Loss: 0.01962
Epoch 120: | Loss: 0.01775
Epoch 121: | Loss: 0.01542
Epoch 122: | Loss: 0.01574
Epoch 123: | Loss: 0.01649
Epoch 124: | Loss: 0.01860
Epoch 125: | Loss: 0.01923
Epoch 126: | Loss: 0.01582
Epoch 127: | Loss: 0.01706
Epoch 128: | Loss: 0.01495
Epoch 129: | Loss: 0.01281
Epoch 130: | Loss: 0.01444
Epoch 131: | Loss: 0.01616
Epoch 132: | Loss: 0.01493
Epoch 133: | Loss: 0.01983
Epoch 134: | Loss: 0.01687
Epoch 135: | Loss: 0.01262
Epoch 136: | Loss: 0.01429
Epoch 137: | Loss: 0.01521
Epoch 138: | Loss: 0.01578
Epoch 139: | Loss: 0.01418
Epoch 140: | Loss: 0.01308
Epoch 141: | Loss: 0.01430
Epoch 142: | Loss: 0.01541
Epoch 143: | Loss: 0.01306
Epoch 144: | Loss: 0.01449
