,0,1,2,3,4,5,true
0,-0.051365327,-6.1409287,-5.497334,-5.696781,-0.6423126,13.210702,5
1,-1.5097865,-8.522696,14.94257,2.538199,-1.9739836,-0.27089152,2
2,0.8355472,-7.0291457,-9.85651,-3.8725202,7.731555,3.1010067,4
3,2.7429874,15.35955,-0.6048641,-5.6809435,-6.4094133,-4.1994653,1
4,-4.7798166,-3.1363037,-3.7195547,13.347833,0.27656293,-0.08655589,3
5,-2.6706965,-1.3716979,-8.451073,-6.1395693,-2.7389734,15.988007,5
6,12.04596,-6.48665,-8.890362,-4.598794,1.5687678,-1.7362924,0
7,7.2388754,-10.409288,-7.185557,-2.6371367,2.9992585,2.4865406,0
8,-1.175304,15.576328,-5.611833,-6.023988,-1.7990735,-3.7939327,1
9,-0.712208,-2.9133837,-6.6176763,-4.8461714,-3.5670762,14.773683,5
10,-0.21275906,-4.853894,-9.330823,-6.729889,-1.5818684,15.638068,5
11,-3.2265627,-4.0961604,-7.2090373,-4.6421413,-1.4652694,15.351894,5
12,-0.51273376,14.308998,-5.6870613,-6.746869,4.2515497,-7.139641,1
13,-0.1522827,6.3562794,-7.729632,-5.8419056,8.510763,-6.167885,1
14,-3.9385693,16.177845,-4.2548146,-2.7468727,-1.5710622,-3.5279422,1
15,2.30031,-6.295131,-4.514449,-5.5645723,-4.83818,15.254665,5
16,-1.703036,-3.9865646,14.3296795,2.8906162,-0.49352324,-4.180396,2
17,-0.9866716,-0.54234797,-6.381264,-6.0826735,-4.7894335,14.67337,5
18,1.6215624,14.188389,-4.5428505,-3.8765428,-1.6711189,-6.216957,1
19,-5.251869,18.701275,-0.5575454,-2.8287015,-2.0233128,-4.117149,1
20,6.2132926,-7.384083,-4.04757,-8.661893,6.989897,-2.5826442,4
21,-4.315277,18.399315,-2.3547993,-3.6294997,-4.384869,-1.5312645,1
22,-3.456479,-4.829407,-5.8895197,-7.5205154,0.4500793,15.895676,5
23,-0.48566547,13.687544,-5.4073668,-6.071788,0.36287868,-3.2003584,4
24,-3.5938418,-4.909182,-7.8713207,-4.944553,5.613797,7.2942295,4
25,-3.9803636,-1.4449699,-5.8677363,-4.452067,-1.8429214,14.079504,5
26,-5.3308134,-5.1151185,-4.608583,-1.7801278,-1.285194,14.569372,5
27,-2.9708734,14.53451,-2.3527343,-5.6379814,3.752494,-6.9970474,1
28,-0.31730655,-7.125487,-2.730087,-4.434716,12.874516,-5.4584384,4
29,-2.27147,-4.959515,-3.542562,-5.343058,-0.4348535,13.919076,5
30,12.547689,-7.1706185,-5.344478,-7.9211287,1.4084426,-1.5415573,0
31,-1.4447483,12.498957,-5.874882,-5.9558897,6.292222,-6.4546633,1
