,0,1,2,3,4,5,true
0,2.682191,3.261983,-24.06012,-18.81372,2.6796079,4.724,5
1,0.21750964,-1.4910169,1.408883,1.1692564,0.2882675,1.2057195,2
2,0.39627823,-0.81583345,-2.5055823,-1.9003272,0.57068354,1.9555387,4
3,3.7919977,12.813638,-61.939148,-49.23905,7.3259897,3.6810527,1
4,0.27358812,-0.999199,-0.8191284,-0.574607,0.43795222,1.8955259,3
5,1.9759676,2.8836927,-18.625185,-14.816315,1.8827213,5.1952615,5
6,1.4784869,0.6748769,-9.1212635,-7.156457,1.4551653,2.6173823,0
7,0.6053095,-0.35157067,-4.6989098,-3.6980076,0.7565697,2.3640103,0
8,3.6807172,12.218174,-58.789314,-46.70839,6.7367177,4.378562,1
9,0.99287295,1.4961296,-12.110786,-9.705563,1.0982672,4.271342,5
10,0.689728,-0.006312728,-6.0273385,-4.719418,0.7997032,2.6867619,5
11,1.5077976,1.9562646,-15.060297,-11.898742,1.5712485,4.1041474,5
12,4.308562,12.57632,-58.002956,-46.53127,6.626028,4.216565,1
13,4.9087152,14.910131,-67.80305,-54.188835,8.184096,4.25174,1
14,4.908131,25.098566,-108.61485,-86.826805,13.222332,2.0414,1
15,1.7162871,2.5457287,-17.449842,-13.847075,1.684277,4.7180448,5
16,0.03224368,-1.2537603,1.2900164,1.0200149,0.18508075,0.82130903,2
17,0.42452824,-0.5880332,-2.9182887,-2.3018217,0.56177527,1.7975006,5
18,5.05185,20.133688,-85.743324,-68.719345,10.624878,2.8344953,1
19,2.8346965,8.815779,-42.682167,-34.495567,3.8179991,6.1801186,1
20,0.67384565,-0.46796066,-3.46531,-2.669039,0.7184522,1.7811955,4
21,7.7095428,20.85761,-98.249664,-78.79308,10.762909,6.4961023,1
22,1.320274,1.0796446,-12.017955,-9.373516,1.4173923,3.3948922,5
23,4.6539955,14.558803,-71.89548,-57.273376,8.176374,4.447905,4
24,0.79371226,0.28568113,-7.961895,-6.212537,0.95145273,2.7296734,4
25,0.7212653,0.26688492,-7.5212145,-5.91702,0.8444122,2.8941753,5
26,1.5818825,2.1760097,-16.41643,-13.028169,1.5739893,4.4570127,5
27,4.4364696,19.330624,-86.21779,-68.9552,10.486382,2.1570637,1
28,0.3469385,-0.7634179,-1.3835078,-1.0802882,0.45341617,1.1726835,4
29,0.9212645,4.5063214,-24.943693,-20.296124,2.2909145,3.7159176,5
30,0.6778282,-0.27717328,-4.058636,-3.1705966,0.7538043,1.5641501,0
31,4.4848285,14.176968,-71.12629,-56.528404,7.4607263,5.430027,1
32,5.5102816,26.46456,-113.67561,-90.74811,14.132269,2.3947515,1
33,1.0867999,1.2624553,-11.352844,-9.031237,1.1567063,3.7420514,5
34,2.5198705,8.576536,-43.715122,-35.042088,4.027874,5.3804207,1
35,0.32672617,-1.0079782,-0.73520076,-0.54815924,0.4444496,1.3548535,4
36,1.329487,1.1773261,-12.203033,-9.680728,1.400934,3.716392,5
37,1.419316,1.7014862,-14.132957,-11.270966,1.4876058,4.096798,5
38,3.7698655,15.197092,-69.112274,-55.47862,6.9704905,5.053688,1
39,0.8080305,-0.21688783,-5.3961205,-4.1987686,0.8967954,1.9739649,5
40,1.7592926,2.0116386,-15.629347,-12.412514,1.7881292,4.3852735,5
41,3.2066114,11.863689,-52.481747,-42.285797,6.7252054,1.6187487,1
42,1.5774504,1.6927122,-14.321617,-11.396327,1.5821458,3.3691719,0
43,3.2946067,4.132744,-28.344542,-22.139957,3.1652975,4.6922007,0
44,0.84949696,-0.08400154,-6.1647024,-4.8200827,0.93713653,2.130259,5
45,5.3269124,21.087017,-91.24011,-72.975266,11.14529,3.779992,1
46,1.6471038,7.28902,-36.700996,-29.467014,4.440453,2.0838008,1
47,2.305098,4.549695,-28.586601,-22.565521,2.8005228,4.8023286,1
48,4.47133,22.630812,-95.39229,-76.20256,11.187075,1.9889143,1
49,1.7821475,2.7041974,-16.597223,-13.264041,1.7672024,3.8395753,5
50,1.0413629,0.67186,-9.042723,-7.1418552,1.1318159,2.8481028,5
