,0,1,2,3,4,5,true
0,4.794195,-8.2492285,-9.894946,-5.896336,0.7866843,5.2699704,5
1,-0.641768,-9.602808,14.231035,0.57369137,0.05229515,1.0602871,2
2,2.6125627,-11.385828,-12.9036875,-0.40286383,9.754886,0.73194855,4
3,1.3845453,17.906736,-4.9598308,-6.7894073,-3.8772938,-2.2555842,1
4,-4.220795,-6.356165,-3.6747837,14.07056,-2.2909157,3.9998915,3
5,-2.771119,-7.779584,-8.343025,-5.6055174,-1.8162981,15.180369,5
6,12.417965,-11.140644,-8.028181,-5.093651,2.2151635,-1.568684,0
7,10.7288,-11.485121,-7.269422,-3.5691876,1.6498225,-0.8119406,0
8,-2.341178,15.778839,-4.1714816,-5.7562804,-6.7438536,4.6308846,1
9,-1.2709084,-3.6967642,-4.999074,-1.406843,-6.0033474,13.637727,5
10,-6.166596,-6.7443266,-5.397095,-0.89091355,-0.8156883,13.925619,5
11,-4.381888,-9.753432,-6.640966,-3.7159445,1.0760009,14.725625,5
12,-4.8781385,19.515303,-4.6748157,-3.0246158,1.8932347,-7.2120023,1
13,0.20712242,11.347294,-8.182941,-5.6473346,2.4779675,-4.0143914,1
14,-3.5151765,20.056402,-1.6704813,-3.411969,-1.4283838,-6.151807,1
15,0.0054913107,-6.3450136,-3.5735412,-0.9326644,-7.4005795,13.736674,5
16,-1.1648464,-10.75378,14.619481,5.4576488,3.9801545,-5.319573,2
17,-6.4037404,-0.78250444,-5.1757216,-7.143335,-1.739387,13.678791,5
18,-4.1015935,21.39978,-2.4250474,-3.2030184,-2.9569519,-2.7557461,1
19,-4.241323,21.432543,-2.6932518,-3.1712184,-4.078208,-2.53918,1
20,5.892589,-1.2570918,-1.7328825,-8.859109,4.604394,-6.010608,4
21,-5.4777493,20.768309,-4.3686056,-2.679396,-5.853392,1.1945804,1
22,0.261591,-10.562682,-11.281523,-8.36907,2.1634297,14.1666,5
23,-2.8306813,12.549026,-2.8407276,-5.893495,3.7295463,-5.0261974,4
24,-4.6860147,-8.400862,-6.2071996,-3.582197,7.9875584,2.3897946,4
25,-3.6935654,-7.821093,-5.369976,-0.37841234,-2.0784926,14.08657,5
26,-0.6033728,-5.9126616,-6.4948153,-4.025981,-6.052268,16.329287,5
27,-6.369303,18.861101,-3.6743686,-2.4122725,5.1446004,-9.141416,1
28,-3.0070746,-6.145939,-3.543098,-5.5303555,14.775307,-3.4693773,4
29,2.2725384,-1.1112776,-7.612446,-8.762721,-4.915841,11.820522,5
30,11.647065,-10.315479,-5.6767,-6.747458,-1.8349855,1.7463254,0
31,1.0981104,20.785288,-3.365884,-5.128402,-1.1213747,-10.043702,1
32,0.29740494,17.480307,-2.6136444,-3.7308185,0.75512487,-9.556428,1
33,-3.195019,-6.370198,-2.2235787,-0.77252537,-2.2879796,10.659325,5
34,-3.7655804,22.149744,-2.4253848,-2.569031,-2.122124,-5.920289,1
