,0,1,2,3,4,5,true
0,-1.856954,-0.40264082,1.3707105,0.66491914,-1.444044,-1.1036016,5
1,-1.0755627,-0.36557686,1.0267689,0.43132046,-0.75427926,-0.61986244,2
2,-1.5128809,-0.059186876,1.1639383,0.45198995,-1.1400974,-0.9571947,4
3,-1.6961129,-0.23859179,2.5962915,0.8398267,-1.9583204,-1.0722368,1
4,-0.7404805,-0.085293055,1.0336534,0.29458466,-0.7411711,-0.92411685,3
5,-1.8036253,-0.58240896,1.324895,0.81712914,-1.7608656,-1.2786372,5
6,-1.7089115,-0.34336656,1.0753582,0.6292098,-0.9830628,-1.2601807,0
7,-1.4834927,-0.31365535,0.8019803,0.5543792,-0.836915,-0.71080554,0
8,-1.8492906,-0.730515,2.1835241,0.63037753,-2.2273362,-1.4762778,1
9,-1.7298818,-0.43064898,1.6194534,0.73932743,-1.5563632,-1.3176926,5
10,-1.6575158,-0.45241147,1.6418308,0.5853431,-1.2261673,-1.0445354,5
11,-1.7701747,-0.3895043,1.8682425,0.63291276,-1.3240044,-0.91738564,5
12,-1.4561656,-0.4261198,2.9149764,0.7778941,-1.8839293,-1.3668511,1
13,-1.433079,-0.19945848,1.943917,1.1167481,-2.2694023,-0.9013041,1
14,-1.5162755,-0.9522841,2.624114,1.0404639,-2.0774167,-1.4103109,1
15,-2.066459,-0.26812446,1.6967008,0.8786587,-1.3130124,-1.2195401,5
16,-1.1527785,-0.16804135,0.9278505,0.44799876,-0.33304846,-0.89948845,2
17,-2.0180106,-0.20543826,1.0428009,0.44115072,-1.1523142,-1.25939,5
18,-1.9825342,-0.75911665,1.970289,0.98014677,-2.0628216,-1.5109601,1
19,-1.977243,-0.5027437,2.54528,0.71435297,-2.6220284,-1.9084489,1
20,-1.5426444,-0.3808123,1.1990272,0.31653154,-1.1022987,-1.0186065,4
21,-1.7194437,-0.8188528,2.9736814,1.1939206,-2.2424507,-1.7488697,1
22,-1.7318649,-0.14318138,1.4275239,0.26799452,-1.0354078,-1.0348555,5
23,-1.9881012,-0.32871282,2.0046833,0.708694,-1.7601042,-1.4406013,4
24,-1.4794657,-0.49054742,1.1332127,0.3127036,-0.96361953,-1.0715022,4
25,-1.9697433,-0.17169666,1.379143,0.35722154,-0.94924504,-1.1541831,5
26,-2.0036922,-0.12392157,1.922194,0.47336212,-1.2153152,-1.0608296,5
27,-0.43239188,-0.63222003,2.7829213,1.1867852,-2.6278694,-0.540537,1
28,-1.5274105,-0.16328669,1.2068934,0.45062777,-0.94838744,-0.8923658,4
29,-0.9768194,-0.5932152,1.9978633,0.1914292,-0.8464477,-1.186309,5
30,-1.5959193,-0.25933087,1.2968956,0.58561003,-0.82337475,-0.9934314,0
31,-1.792778,-0.46337533,2.0865903,0.96303606,-1.9555558,-1.2839417,1
32,-1.6357353,-0.6047088,2.3206906,0.67796934,-2.059514,-1.5829825,1
33,-1.3942423,-0.3782196,1.4841783,0.5634023,-1.632663,-1.1542773,5
34,-2.1265736,-0.87394094,2.6980333,0.76096755,-1.8911911,-1.4382123,1
35,-1.5137811,-0.21432793,1.2572852,0.46870154,-0.94060653,-1.0687964,4
36,-1.5884922,-0.2631598,1.5971575,0.43265146,-1.4641609,-1.0679978,5
37,-1.6832347,-0.39533746,2.0085616,0.41722056,-1.4893601,-1.2063555,5
38,-2.1398673,-0.5800276,2.8398304,0.39910042,-2.374661,-1.7122319,1
39,-1.6316686,-0.17530537,1.2974424,0.45785612,-1.085734,-1.0926329,5
40,-1.7001586,-0.30912572,1.4778998,0.5206727,-1.714354,-1.194875,5
41,-0.84049386,-0.3230713,1.8204458,0.67352307,-1.4960353,-0.22254568,1
42,-1.8273654,-0.29030132,1.2960103,0.6306377,-1.5097487,-0.9532941,0
43,-1.579134,-0.1185298,1.8576585,0.7445814,-1.3386593,-1.0725186,0
44,-1.8836871,-0.44618785,1.3148304,0.91899997,-1.0750898,-1.1140901,5
45,-1.2959309,-0.81795555,2.100705,0.6786405,-2.3089137,-1.5424454,1
46,-0.3474754,-0.40048522,1.3232391,0.24570543,-2.218544,-0.4645471,1
47,-1.7740996,-0.20221126,1.4554346,0.7422458,-1.8103498,-1.293821,1
48,-2.0274816,-0.30916953,1.8446519,0.6444619,-1.9069769,-1.1849973,1
49,-2.0762405,-0.51497877,2.1511881,0.9718871,-1.4967402,-1.0206873,5
50,-1.7137742,-0.32852077,1.4932715,0.8351111,-1.3365983,-1.1850522,5
51,-1.0915276,-0.5307728,1.9458661,1.1563066,-1.4058214,-0.38629353,5
52,-1.9640466,-0.19456089,2.324442,0.696557,-1.7440878,-1.7581937,1
53,-1.670575,-0.20626807,0.9453976,0.38971686,-1.7987101,-1.2535744,4
54,-1.9291294,-0.5393693,1.1434809,0.72012085,-1.1662564,-0.9617704,5
55,-1.6305711,-0.66691256,2.2073932,0.4687221,-2.8008478,-1.3503119,1
