,0,1,2,3,4,5,true
0,3.0112064,-5.817851,-5.217103,-7.638794,0.83119994,9.454015,5
1,1.910253,-6.7727003,15.42185,2.7385833,-5.3580465,-3.725187,2
2,-1.027743,-7.0895424,-5.3571362,-3.1384103,12.560061,1.0795211,4
3,-2.9233205,15.512492,-7.420484,-7.753412,1.6681594,-0.42446858,1
4,1.624771,-4.4699526,-0.40294352,15.373968,-4.97246,-5.1540656,3
5,1.1259648,-5.8293653,-6.7584424,-6.178328,0.8537826,12.810462,5
6,4.943252,-8.999399,-2.7848265,1.5417289,5.697198,-4.0106854,0
7,8.670344,-1.484095,-6.01481,-7.196967,5.11549,-4.2006574,0
8,-2.3374298,17.609688,-3.2170942,-6.307312,-0.026741598,-6.0346828,1
9,-3.837019,-4.2994566,-2.6103387,-7.4350605,-0.15613608,15.607078,5
10,-6.1067843,-1.1212555,-3.757756,-7.4680233,0.17988938,14.850177,5
11,-6.7435594,-0.3350143,-1.5571066,-4.2904425,-4.7205424,14.659755,5
12,-5.0609107,16.70297,-6.710814,-2.7558215,1.4687166,-3.9910958,1
13,-0.54171675,17.771454,-6.370903,-5.3110323,-0.24455875,-5.9032536,1
14,-3.0137422,18.332642,-6.417501,-6.4106956,1.9182245,-4.4202065,1
15,-3.1690624,-1.6101443,-3.2651396,-5.575479,-3.296126,14.788185,5
16,-2.6440163,-7.7966986,18.211637,-1.0867075,-1.9466195,-1.1993077,2
17,-2.991695,-3.8743644,-5.3492465,-5.8217263,-1.844917,16.400589,5
18,-1.3561429,16.857452,-5.0921245,-4.374525,-1.6629298,-5.007256,1
19,-0.9743985,17.79597,-2.3494403,-3.472358,-4.490981,-5.773346,1
20,13.013579,-4.1474175,-7.7295756,-4.210306,1.9073493,-4.1963468,4
21,-2.5128682,16.036781,-5.4893594,-1.5588609,1.2354951,-6.994442,1
22,0.09232749,-7.9688983,-2.9349444,-3.8592966,-3.597486,14.88709,5
23,4.820784,12.40572,-7.782453,-6.946475,0.46458834,-6.065364,4
